UID,Start Date,End Date,Client,Project Name,Required Skills,Location,Local Requirement,Level
611,2020-09-01 00:00:00,2020-11-15 00:00:00,C,Account Leadership Project,ML/Cloud/Leadership/,Denver,No,7-8
612,2020-12-01 00:00:00,2020-12-15 00:00:00,D,Security Project,Excel/Cloud/Excel/,DC,Yes,9-10
613,2020-05-01 00:00:00,2020-06-15 00:00:00,B,Finance Project,SAP/QuickBooks/Excel/,DC,No,8-9
614,2020-03-01 00:00:00,2020-03-15 00:00:00,D,Business Project,PowerPoint/,Boston,No,7-8
615,2020-12-01 00:00:00,2020-12-15 00:00:00,G,Design Project,Adobe/PowerPoint/,DC,No,4-5
616,2020-02-01 00:00:00,2020-09-15 00:00:00,F,Security Project,Python/,Boston,Yes,7-8
617,2020-06-01 00:00:00,2020-12-15 00:00:00,A,IT Operations Project,Java/Python/Python/,Chicago,No,1-2
618,2020-04-01 00:00:00,2020-09-15 00:00:00,C,Legal Project,Bar/Oral communication/Excel/,Denver,Yes,3-4
619,2020-03-01 00:00:00,2020-10-15 00:00:00,E,Strategy Project,Critical thinking/Critical thinking/,NYC,No,8-9
620,2020-12-01 00:00:00,2020-12-15 00:00:00,H,Security Project,ML/,DC,No,10-11
621,2020-09-01 00:00:00,2020-09-15 00:00:00,E,Security Project,Java/,Boston,Yes,3-4
622,2020-04-01 00:00:00,2020-12-15 00:00:00,G,Finance Project,PowerPoint/PowerPoint/,NYC,No,10-11
623,2020-05-01 00:00:00,2020-05-15 00:00:00,E,Engineering Project,Python/MATLAB/,NYC,No,9-10
624,2020-08-01 00:00:00,2020-11-15 00:00:00,C,Engineering Project,Java/,Boston,No,1-2
625,2020-07-01 00:00:00,2020-08-15 00:00:00,C,IT Operations Project,Cloud/Oracle/,Chicago,No,4-5
626,2020-09-01 00:00:00,2020-10-15 00:00:00,B,Strategy Project,Critical thinking/,Boston,Yes,6-7
627,2020-04-01 00:00:00,2020-09-15 00:00:00,G,Legal Project,PowerPoint/Excel/Bar/,Boston,Yes,3-4
628,2020-11-01 00:00:00,2020-11-15 00:00:00,C,IT Operations Project,Cloud/ML/,DC,Yes,8-9
629,2020-01-01 00:00:00,2020-07-15 00:00:00,A,Strategy Project,Critical thinking/Critical thinking/Critical thinking/,NYC,No,7-8
630,2020-11-01 00:00:00,2020-11-15 00:00:00,D,Strategy Project,Critical thinking/,Denver,Yes,2-3
631,2020-12-01 00:00:00,2020-12-15 00:00:00,A,Business Project,Excel/Excel/,Chicago,No,9-10
632,2020-04-01 00:00:00,2020-09-15 00:00:00,C,Design Project,React.js/Adobe/,DC,No,5-6
633,2020-11-01 00:00:00,2020-12-15 00:00:00,D,Legal Project,Excel/Excel/,DC,No,10-11
634,2020-09-01 00:00:00,2020-10-15 00:00:00,E,Design Project,PowerPoint/Adobe/PowerPoint/,DC,Yes,6-7
635,2020-03-01 00:00:00,2020-09-15 00:00:00,A,Engineering Project,MATLAB/Python/Java/,Denver,No,2-3
636,2020-12-01 00:00:00,2020-12-15 00:00:00,B,Account Leadership Project,Oral communication/Excel/,NYC,No,10-11
637,2020-05-01 00:00:00,2020-08-15 00:00:00,B,Design Project,Excel/PowerPoint/,Boston,Yes,5-6
638,2020-05-01 00:00:00,2020-09-15 00:00:00,E,Engineering Project,Java/,NYC,No,10-11
639,2020-12-01 00:00:00,2020-12-15 00:00:00,G,Engineering Project,Excel/,DC,Yes,2-3
640,2020-07-01 00:00:00,2020-12-15 00:00:00,H,Legal Project,Oral communication/Excel/PowerPoint/,DC,No,10-11
641,2020-11-01 00:00:00,2020-11-15 00:00:00,G,Strategy Project,Excel/PowerPoint/,Chicago,Yes,3-4
642,2020-01-01 00:00:00,2020-01-15 00:00:00,F,Legal Project,Excel/,DC,Yes,5-6
643,2020-06-01 00:00:00,2020-10-15 00:00:00,G,Human Resources Project,Workday/Excel/Excel/,Boston,Yes,6-7
644,2020-05-01 00:00:00,2020-07-15 00:00:00,G,Account Leadership Project,Oral communication/,DC,No,1-2
645,2020-08-01 00:00:00,2020-09-15 00:00:00,B,IT Operations Project,Oracle/,Denver,Yes,9-10
646,2020-06-01 00:00:00,2020-09-15 00:00:00,A,Legal Project,Oral communication/Bar/Excel/,Chicago,Yes,10-11
647,2020-08-01 00:00:00,2020-09-15 00:00:00,D,Security Project,Java/Python/Java/,Boston,No,6-7
648,2020-01-01 00:00:00,2020-11-15 00:00:00,F,Design Project,Excel/,NYC,No,4-5
649,2020-08-01 00:00:00,2020-08-15 00:00:00,C,Legal Project,Oral communication/,NYC,No,9-10
650,2020-02-01 00:00:00,2020-05-15 00:00:00,C,Strategy Project,Excel/,DC,No,8-9
651,2020-04-01 00:00:00,2020-09-15 00:00:00,F,Strategy Project,Excel/PowerPoint/Critical thinking/,NYC,No,5-6
652,2020-12-01 00:00:00,2020-12-15 00:00:00,D,Finance Project,QuickBooks/,DC,No,10-11
653,2020-12-01 00:00:00,2020-12-15 00:00:00,C,Legal Project,PowerPoint/Excel/,Denver,No,7-8
654,2020-06-01 00:00:00,2020-10-15 00:00:00,A,Account Leadership Project,PowerPoint/ML/,NYC,Yes,6-7
655,2020-08-01 00:00:00,2020-08-15 00:00:00,B,Finance Project,Excel/Excel/,Boston,Yes,5-6
656,2020-02-01 00:00:00,2020-04-15 00:00:00,A,Design Project,PowerPoint/,NYC,Yes,2-3
657,2020-12-01 00:00:00,2020-12-15 00:00:00,D,IT Operations Project,Python/PowerPoint/ML/,Denver,Yes,5-6
658,2020-05-01 00:00:00,2020-08-15 00:00:00,D,Business Project,Salesforce/,Denver,No,3-4
659,2020-04-01 00:00:00,2020-11-15 00:00:00,H,Legal Project,Bar/,Denver,Yes,10-11
660,2020-02-01 00:00:00,2020-02-15 00:00:00,F,Strategy Project,PowerPoint/PowerPoint/PowerPoint/,NYC,No,8-9
661,2020-07-01 00:00:00,2020-11-15 00:00:00,A,Design Project,PhotoShop/,Boston,Yes,7-8
662,2020-11-01 00:00:00,2020-12-15 00:00:00,D,Strategy Project,PowerPoint/Excel/Critical thinking/,DC,Yes,10-11
663,2020-07-01 00:00:00,2020-10-15 00:00:00,G,Strategy Project,Excel/Critical thinking/Excel/,Chicago,No,6-7
664,2020-09-01 00:00:00,2020-09-15 00:00:00,H,Business Project,PowerPoint/PowerPoint/Salesforce/,Chicago,Yes,2-3
665,2020-08-01 00:00:00,2020-12-15 00:00:00,H,Business Project,Salesforce/,Boston,Yes,8-9
666,2020-12-01 00:00:00,2020-12-15 00:00:00,D,Engineering Project,Excel/Java/,DC,No,1-2
667,2020-07-01 00:00:00,2020-12-15 00:00:00,H,Human Resources Project,Workday/,Boston,Yes,3-4
668,2020-05-01 00:00:00,2020-06-15 00:00:00,C,Strategy Project,PowerPoint/,DC,No,8-9
669,2020-01-01 00:00:00,2020-12-15 00:00:00,A,Engineering Project,Python/Java/,NYC,Yes,4-5
670,2020-07-01 00:00:00,2020-11-15 00:00:00,E,Design Project,PowerPoint/,DC,No,7-8
671,2020-06-01 00:00:00,2020-09-15 00:00:00,D,Legal Project,Excel/PowerPoint/Bar/,Boston,Yes,1-2
672,2020-09-01 00:00:00,2020-12-15 00:00:00,F,Engineering Project,Excel/,NYC,Yes,4-5
673,2020-10-01 00:00:00,2020-12-15 00:00:00,C,Legal Project,Excel/Oral communication/,NYC,Yes,8-9
674,2020-04-01 00:00:00,2020-11-15 00:00:00,H,Finance Project,PowerPoint/,Boston,Yes,1-2
675,2020-12-01 00:00:00,2020-12-15 00:00:00,B,Engineering Project,Excel/MATLAB/,DC,No,5-6
676,2020-11-01 00:00:00,2020-11-15 00:00:00,A,Security Project,Cloud/,DC,No,3-4
677,2020-03-01 00:00:00,2020-05-15 00:00:00,G,Strategy Project,PowerPoint/,Denver,Yes,6-7
678,2020-04-01 00:00:00,2020-08-15 00:00:00,A,Legal Project,Bar/Bar/Bar/,NYC,No,8-9
679,2020-10-01 00:00:00,2020-11-15 00:00:00,H,Strategy Project,Excel/PowerPoint/Excel/,Denver,Yes,1-2
680,2020-06-01 00:00:00,2020-09-15 00:00:00,F,Human Resources Project,PowerPoint/PowerPoint/Excel/,Boston,Yes,10-11
681,2020-05-01 00:00:00,2020-07-15 00:00:00,E,Human Resources Project,PowerPoint/Excel/,Chicago,Yes,5-6
682,2020-06-01 00:00:00,2020-09-15 00:00:00,A,Human Resources Project,Workday/PowerPoint/,Boston,No,4-5
683,2020-05-01 00:00:00,2020-07-15 00:00:00,B,Business Project,Salesforce/,NYC,No,6-7
684,2020-01-01 00:00:00,2020-09-15 00:00:00,A,Strategy Project,Critical thinking/,Chicago,No,2-3
685,2020-12-01 00:00:00,2020-12-15 00:00:00,C,Security Project,Oracle/Java/Python/,Denver,No,7-8
686,2020-06-01 00:00:00,2020-08-15 00:00:00,H,Security Project,Excel/,DC,No,10-11
687,2020-10-01 00:00:00,2020-11-15 00:00:00,B,Finance Project,QuickBooks/SAP/,Denver,No,1-2
688,2020-04-01 00:00:00,2020-08-15 00:00:00,C,Human Resources Project,PowerPoint/,Boston,Yes,2-3
689,2020-09-01 00:00:00,2020-09-15 00:00:00,F,Design Project,PowerPoint/,Denver,No,5-6
690,2020-06-01 00:00:00,2020-07-15 00:00:00,C,Human Resources Project,Workday/Oral communication/,Denver,No,7-8
691,2020-09-01 00:00:00,2020-11-15 00:00:00,D,IT Operations Project,ML/ML/,NYC,No,2-3
692,2020-11-01 00:00:00,2020-11-15 00:00:00,G,Engineering Project,Python/,DC,No,6-7
693,2020-12-01 00:00:00,2020-12-15 00:00:00,F,Business Project,Excel/,DC,Yes,9-10
694,2020-04-01 00:00:00,2020-06-15 00:00:00,F,Business Project,Salesforce/,NYC,No,9-10
695,2020-06-01 00:00:00,2020-12-15 00:00:00,G,Engineering Project,PowerPoint/Java/,DC,No,4-5
696,2020-01-01 00:00:00,2020-06-15 00:00:00,F,Human Resources Project,PowerPoint/Oral communication/,Chicago,No,4-5
697,2020-07-01 00:00:00,2020-10-15 00:00:00,F,Strategy Project,PowerPoint/,Chicago,No,8-9
698,2020-08-01 00:00:00,2020-12-15 00:00:00,F,Design Project,PhotoShop/PowerPoint/Adobe/,DC,No,6-7
699,2020-01-01 00:00:00,2020-01-15 00:00:00,B,Engineering Project,PowerPoint/Java/MATLAB/,NYC,Yes,3-4
700,2020-06-01 00:00:00,2020-11-15 00:00:00,H,IT Operations Project,Oracle/,Denver,Yes,7-8
701,2020-03-01 00:00:00,2020-05-15 00:00:00,G,Business Project,Excel/PowerPoint/,Denver,Yes,1-2
702,2020-01-01 00:00:00,2020-07-15 00:00:00,F,Design Project,Excel/,DC,No,4-5
703,2020-06-01 00:00:00,2020-12-15 00:00:00,D,Finance Project,Excel/Excel/,Boston,No,6-7
704,2020-03-01 00:00:00,2020-09-15 00:00:00,H,Security Project,PowerPoint/ML/,Chicago,No,10-11
705,2020-09-01 00:00:00,2020-10-15 00:00:00,C,Human Resources Project,Oral communication/Oral communication/PowerPoint/,NYC,No,7-8
706,2020-04-01 00:00:00,2020-06-15 00:00:00,G,Engineering Project,Java/Java/,Denver,Yes,1-2
707,2020-01-01 00:00:00,2020-04-15 00:00:00,E,Account Leadership Project,Oral communication/PowerPoint/Leadership/,Chicago,No,3-4
708,2020-02-01 00:00:00,2020-02-15 00:00:00,D,Security Project,Cloud/Python/Python/,Boston,Yes,9-10
709,2020-05-01 00:00:00,2020-08-15 00:00:00,E,Security Project,Oracle/,Denver,No,2-3
710,2020-09-01 00:00:00,2020-10-15 00:00:00,G,Human Resources Project,Excel/,DC,Yes,8-9
711,2020-12-01 00:00:00,2020-12-15 00:00:00,D,Account Leadership Project,Leadership/Leadership/Leadership/,Boston,No,7-8
712,2020-11-01 00:00:00,2020-12-15 00:00:00,F,Human Resources Project,Oral communication/Excel/,Boston,No,4-5
713,2020-03-01 00:00:00,2020-03-15 00:00:00,F,Strategy Project,Critical thinking/,Denver,No,1-2
714,2020-10-01 00:00:00,2020-11-15 00:00:00,C,Human Resources Project,Workday/PowerPoint/Excel/,Chicago,No,5-6
715,2020-06-01 00:00:00,2020-09-15 00:00:00,B,Account Leadership Project,ML/,Boston,No,7-8
716,2020-06-01 00:00:00,2020-11-15 00:00:00,F,Finance Project,Excel/PowerPoint/PowerPoint/,DC,Yes,5-6
717,2020-04-01 00:00:00,2020-06-15 00:00:00,C,Design Project,React.js/,Chicago,No,6-7
718,2020-10-01 00:00:00,2020-10-15 00:00:00,B,Human Resources Project,Excel/Oral communication/,Chicago,No,5-6
719,2020-08-01 00:00:00,2020-12-15 00:00:00,H,Business Project,Excel/Excel/,Denver,No,8-9
720,2020-11-01 00:00:00,2020-12-15 00:00:00,A,Engineering Project,PowerPoint/,NYC,No,6-7
721,2020-09-01 00:00:00,2020-10-15 00:00:00,E,Design Project,Adobe/Excel/,Chicago,Yes,6-7
722,2020-04-01 00:00:00,2020-07-15 00:00:00,G,Legal Project,PowerPoint/,Chicago,No,6-7
723,2020-01-01 00:00:00,2020-01-15 00:00:00,C,Account Leadership Project,ML/,NYC,Yes,2-3
724,2020-03-01 00:00:00,2020-11-15 00:00:00,F,Security Project,Oracle/Cloud/PowerPoint/,Denver,No,4-5
725,2020-03-01 00:00:00,2020-05-15 00:00:00,F,Design Project,Excel/Adobe/,Chicago,No,5-6
726,2020-05-01 00:00:00,2020-08-15 00:00:00,D,Engineering Project,MATLAB/PowerPoint/,NYC,No,4-5
727,2020-07-01 00:00:00,2020-07-15 00:00:00,B,Strategy Project,PowerPoint/,DC,No,6-7
728,2020-12-01 00:00:00,2020-12-15 00:00:00,H,Strategy Project,Critical thinking/,DC,No,7-8
729,2020-01-01 00:00:00,2020-06-15 00:00:00,E,Legal Project,Bar/PowerPoint/,DC,Yes,5-6
730,2020-11-01 00:00:00,2020-11-15 00:00:00,A,Legal Project,PowerPoint/,NYC,No,9-10
731,2020-05-01 00:00:00,2020-06-15 00:00:00,A,Engineering Project,Java/Java/,Boston,Yes,8-9
732,2020-05-01 00:00:00,2020-07-15 00:00:00,B,Security Project,Oracle/Oracle/,Boston,No,10-11
733,2020-04-01 00:00:00,2020-08-15 00:00:00,G,Human Resources Project,Workday/PowerPoint/Oral communication/,Denver,Yes,3-4
734,2020-07-01 00:00:00,2020-12-15 00:00:00,B,Engineering Project,Excel/,Boston,Yes,9-10
735,2020-06-01 00:00:00,2020-09-15 00:00:00,F,Engineering Project,PowerPoint/,Denver,Yes,5-6
736,2020-10-01 00:00:00,2020-12-15 00:00:00,H,Strategy Project,PowerPoint/PowerPoint/,Chicago,No,2-3
737,2020-11-01 00:00:00,2020-12-15 00:00:00,A,Human Resources Project,PowerPoint/,Boston,Yes,1-2
738,2020-03-01 00:00:00,2020-12-15 00:00:00,H,Finance Project,Excel/Excel/PowerPoint/,Denver,Yes,4-5
739,2020-08-01 00:00:00,2020-11-15 00:00:00,C,Legal Project,Oral communication/Excel/Bar/,Boston,No,7-8
740,2020-07-01 00:00:00,2020-08-15 00:00:00,F,Legal Project,PowerPoint/,Boston,No,4-5
741,2020-07-01 00:00:00,2020-10-15 00:00:00,B,Security Project,Excel/,NYC,Yes,7-8
742,2020-03-01 00:00:00,2020-06-15 00:00:00,H,Design Project,Excel/Adobe/,Boston,No,3-4
743,2020-07-01 00:00:00,2020-08-15 00:00:00,B,Legal Project,Oral communication/PowerPoint/PowerPoint/,Chicago,No,10-11
744,2020-02-01 00:00:00,2020-09-15 00:00:00,H,Legal Project,Excel/Excel/,DC,Yes,8-9
745,2020-08-01 00:00:00,2020-09-15 00:00:00,A,Business Project,PowerPoint/PowerPoint/,Boston,No,2-3
746,2020-04-01 00:00:00,2020-04-15 00:00:00,G,Legal Project,Oral communication/Oral communication/PowerPoint/,Boston,Yes,7-8
747,2020-12-01 00:00:00,2020-12-15 00:00:00,H,Human Resources Project,Oral communication/PowerPoint/,Boston,Yes,5-6
748,2020-05-01 00:00:00,2020-11-15 00:00:00,D,Account Leadership Project,Leadership/PowerPoint/,Boston,Yes,1-2
749,2020-01-01 00:00:00,2020-02-15 00:00:00,D,Strategy Project,Excel/PowerPoint/PowerPoint/,Denver,Yes,9-10
750,2020-10-01 00:00:00,2020-11-15 00:00:00,C,Finance Project,Excel/PowerPoint/,Denver,No,2-3
751,2020-11-01 00:00:00,2020-11-15 00:00:00,H,Strategy Project,Excel/Critical thinking/Critical thinking/,Chicago,No,7-8
752,2020-07-01 00:00:00,2020-08-15 00:00:00,C,Account Leadership Project,PowerPoint/Leadership/Cloud/,DC,Yes,5-6
753,2020-01-01 00:00:00,2020-09-15 00:00:00,A,Design Project,PowerPoint/Adobe/React.js/,NYC,Yes,6-7
754,2020-06-01 00:00:00,2020-09-15 00:00:00,C,Security Project,Java/,Denver,No,7-8
755,2020-11-01 00:00:00,2020-11-15 00:00:00,A,Human Resources Project,Workday/Oral communication/PowerPoint/,DC,Yes,3-4
756,2020-03-01 00:00:00,2020-07-15 00:00:00,C,Security Project,Cloud/Python/,Denver,Yes,2-3
757,2020-03-01 00:00:00,2020-04-15 00:00:00,H,IT Operations Project,Python/,NYC,Yes,7-8
758,2020-09-01 00:00:00,2020-09-15 00:00:00,C,Business Project,PowerPoint/Salesforce/Excel/,Denver,Yes,9-10
759,2020-11-01 00:00:00,2020-11-15 00:00:00,H,Engineering Project,PowerPoint/MATLAB/PowerPoint/,DC,No,1-2
760,2020-03-01 00:00:00,2020-11-15 00:00:00,C,Account Leadership Project,ML/Cloud/,Chicago,No,4-5
761,2020-05-01 00:00:00,2020-12-15 00:00:00,F,Finance Project,QuickBooks/,Denver,No,10-11
762,2020-02-01 00:00:00,2020-07-15 00:00:00,D,Business Project,Excel/Salesforce/PowerPoint/,Denver,No,3-4
763,2020-12-01 00:00:00,2020-12-15 00:00:00,H,Design Project,React.js/React.js/PhotoShop/,Chicago,Yes,1-2
764,2020-07-01 00:00:00,2020-12-15 00:00:00,B,Legal Project,Excel/,NYC,No,3-4
765,2020-10-01 00:00:00,2020-11-15 00:00:00,D,Strategy Project,Critical thinking/PowerPoint/PowerPoint/,Boston,Yes,4-5
766,2020-05-01 00:00:00,2020-08-15 00:00:00,A,Human Resources Project,PowerPoint/PowerPoint/,NYC,Yes,8-9
767,2020-05-01 00:00:00,2020-10-15 00:00:00,E,Account Leadership Project,Oral communication/Cloud/,Denver,Yes,7-8
768,2020-12-01 00:00:00,2020-12-15 00:00:00,E,Account Leadership Project,Excel/Oral communication/,Chicago,No,4-5
769,2020-12-01 00:00:00,2020-12-15 00:00:00,A,Strategy Project,Critical thinking/Critical thinking/,Chicago,No,9-10
770,2020-08-01 00:00:00,2020-10-15 00:00:00,C,Engineering Project,MATLAB/Excel/,Boston,No,5-6
771,2020-04-01 00:00:00,2020-11-15 00:00:00,C,IT Operations Project,PowerPoint/PowerPoint/PowerPoint/,Denver,No,7-8
772,2020-11-01 00:00:00,2020-11-15 00:00:00,C,Security Project,Excel/ML/,DC,No,7-8
773,2020-06-01 00:00:00,2020-11-15 00:00:00,C,Finance Project,Excel/Excel/PowerPoint/,DC,Yes,8-9
774,2020-06-01 00:00:00,2020-08-15 00:00:00,C,Account Leadership Project,Leadership/,DC,No,1-2
775,2020-07-01 00:00:00,2020-12-15 00:00:00,A,IT Operations Project,Excel/Java/,Boston,No,9-10
776,2020-10-01 00:00:00,2020-12-15 00:00:00,G,Legal Project,Oral communication/Excel/Oral communication/,Boston,Yes,2-3
777,2020-01-01 00:00:00,2020-12-15 00:00:00,C,Strategy Project,Critical thinking/,Chicago,No,4-5
778,2020-08-01 00:00:00,2020-12-15 00:00:00,D,Security Project,Cloud/Cloud/,Boston,Yes,3-4
779,2020-01-01 00:00:00,2020-12-15 00:00:00,B,Strategy Project,Critical thinking/Critical thinking/Critical thinking/,DC,Yes,7-8
780,2020-06-01 00:00:00,2020-12-15 00:00:00,F,IT Operations Project,Oracle/ML/,DC,No,4-5
781,2020-01-01 00:00:00,2020-06-15 00:00:00,B,Engineering Project,Excel/PowerPoint/,DC,Yes,2-3
782,2020-03-01 00:00:00,2020-05-15 00:00:00,B,Legal Project,Oral communication/Bar/Bar/,Chicago,No,7-8
783,2020-04-01 00:00:00,2020-12-15 00:00:00,F,Human Resources Project,Workday/,DC,No,7-8
784,2020-01-01 00:00:00,2020-01-15 00:00:00,E,IT Operations Project,Cloud/,DC,No,9-10
785,2020-02-01 00:00:00,2020-04-15 00:00:00,B,IT Operations Project,Oracle/Oracle/,Chicago,Yes,3-4
786,2020-01-01 00:00:00,2020-10-15 00:00:00,E,Business Project,Salesforce/PowerPoint/,NYC,Yes,6-7
787,2020-11-01 00:00:00,2020-11-15 00:00:00,E,IT Operations Project,Excel/Python/,NYC,Yes,5-6
788,2020-09-01 00:00:00,2020-11-15 00:00:00,A,Business Project,Salesforce/,DC,Yes,4-5
789,2020-11-01 00:00:00,2020-12-15 00:00:00,C,Finance Project,QuickBooks/,NYC,Yes,5-6
790,2020-02-01 00:00:00,2020-03-15 00:00:00,H,Strategy Project,Critical thinking/Excel/,Boston,Yes,7-8
791,2020-12-01 00:00:00,2020-12-15 00:00:00,C,Account Leadership Project,Excel/Oral communication/,Chicago,No,10-11
792,2020-03-01 00:00:00,2020-10-15 00:00:00,C,Design Project,Adobe/React.js/,Chicago,Yes,4-5
793,2020-07-01 00:00:00,2020-07-15 00:00:00,E,Strategy Project,PowerPoint/,NYC,Yes,4-5
794,2020-05-01 00:00:00,2020-12-15 00:00:00,A,Account Leadership Project,PowerPoint/Oral communication/Cloud/,NYC,Yes,5-6
795,2020-05-01 00:00:00,2020-11-15 00:00:00,C,Human Resources Project,Oral communication/,Denver,Yes,10-11
796,2020-09-01 00:00:00,2020-11-15 00:00:00,C,Human Resources Project,Workday/,Chicago,Yes,8-9
797,2020-11-01 00:00:00,2020-11-15 00:00:00,E,Engineering Project,MATLAB/,DC,No,6-7
798,2020-03-01 00:00:00,2020-05-15 00:00:00,B,Finance Project,PowerPoint/Excel/,Boston,No,8-9
799,2020-03-01 00:00:00,2020-05-15 00:00:00,D,Account Leadership Project,Cloud/Cloud/,Chicago,Yes,1-2
800,2020-07-01 00:00:00,2020-07-15 00:00:00,F,IT Operations Project,Cloud/Cloud/Python/,Chicago,Yes,2-3
801,2020-11-01 00:00:00,2020-12-15 00:00:00,D,Finance Project,PowerPoint/SAP/,Denver,No,7-8
802,2020-05-01 00:00:00,2020-10-15 00:00:00,E,Design Project,React.js/PhotoShop/React.js/,Denver,No,9-10
803,2020-01-01 00:00:00,2020-01-15 00:00:00,A,Engineering Project,Excel/,DC,Yes,5-6
804,2020-01-01 00:00:00,2020-09-15 00:00:00,F,Security Project,Cloud/PowerPoint/ML/,Chicago,No,2-3
805,2020-05-01 00:00:00,2020-11-15 00:00:00,C,Legal Project,Bar/Oral communication/,Chicago,Yes,2-3
806,2020-09-01 00:00:00,2020-10-15 00:00:00,E,IT Operations Project,Excel/Cloud/,Denver,No,2-3
807,2020-04-01 00:00:00,2020-06-15 00:00:00,B,Human Resources Project,Excel/,Chicago,Yes,10-11
808,2020-02-01 00:00:00,2020-05-15 00:00:00,A,IT Operations Project,Cloud/,Boston,Yes,10-11
809,2020-04-01 00:00:00,2020-04-15 00:00:00,G,Security Project,Cloud/Oracle/Excel/,DC,No,6-7
810,2020-10-01 00:00:00,2020-10-15 00:00:00,B,Business Project,Excel/,Chicago,Yes,6-7
811,2020-09-01 00:00:00,2020-12-15 00:00:00,A,Account Leadership Project,PowerPoint/PowerPoint/Cloud/,Denver,No,2-3
812,2020-10-01 00:00:00,2020-10-15 00:00:00,B,Business Project,PowerPoint/,DC,No,2-3
813,2020-03-01 00:00:00,2020-11-15 00:00:00,B,Design Project,Adobe/PowerPoint/,Chicago,Yes,6-7
814,2020-07-01 00:00:00,2020-11-15 00:00:00,F,Legal Project,Excel/PowerPoint/,DC,Yes,1-2
815,2020-01-01 00:00:00,2020-07-15 00:00:00,C,Engineering Project,Excel/Java/Java/,NYC,No,5-6
816,2020-05-01 00:00:00,2020-11-15 00:00:00,F,Legal Project,Oral communication/PowerPoint/Excel/,Boston,Yes,4-5
817,2020-01-01 00:00:00,2020-09-15 00:00:00,C,Account Leadership Project,PowerPoint/,Denver,No,10-11
818,2020-10-01 00:00:00,2020-12-15 00:00:00,E,Human Resources Project,Oral communication/,Boston,Yes,4-5
819,2020-03-01 00:00:00,2020-08-15 00:00:00,B,Security Project,Cloud/Python/Oracle/,NYC,No,4-5
820,2020-02-01 00:00:00,2020-08-15 00:00:00,D,Security Project,Java/Oracle/Cloud/,Chicago,Yes,2-3
821,2020-12-01 00:00:00,2020-12-15 00:00:00,D,Strategy Project,Excel/PowerPoint/PowerPoint/,Denver,No,5-6
822,2020-04-01 00:00:00,2020-11-15 00:00:00,A,Finance Project,QuickBooks/,NYC,Yes,5-6
823,2020-04-01 00:00:00,2020-08-15 00:00:00,C,IT Operations Project,Cloud/,DC,No,10-11
824,2020-09-01 00:00:00,2020-11-15 00:00:00,H,Engineering Project,MATLAB/Java/PowerPoint/,Denver,No,5-6
825,2020-12-01 00:00:00,2020-12-15 00:00:00,H,Strategy Project,Critical thinking/PowerPoint/,Denver,No,10-11
826,2020-02-01 00:00:00,2020-12-15 00:00:00,G,Security Project,ML/,Boston,No,4-5
827,2020-11-01 00:00:00,2020-11-15 00:00:00,B,Strategy Project,PowerPoint/,DC,Yes,5-6
828,2020-07-01 00:00:00,2020-11-15 00:00:00,E,Account Leadership Project,Oral communication/Cloud/,NYC,Yes,2-3
829,2020-01-01 00:00:00,2020-12-15 00:00:00,D,Account Leadership Project,Oral communication/,Denver,Yes,6-7
830,2020-04-01 00:00:00,2020-09-15 00:00:00,A,IT Operations Project,Oracle/,DC,No,4-5
831,2020-11-01 00:00:00,2020-11-15 00:00:00,B,Design Project,Excel/PhotoShop/PhotoShop/,DC,Yes,3-4
832,2020-06-01 00:00:00,2020-10-15 00:00:00,F,Security Project,Cloud/ML/,NYC,Yes,9-10
833,2020-01-01 00:00:00,2020-11-15 00:00:00,G,Strategy Project,Excel/Excel/PowerPoint/,Denver,No,1-2
834,2020-07-01 00:00:00,2020-12-15 00:00:00,F,Account Leadership Project,Cloud/PowerPoint/,Denver,Yes,1-2
835,2020-03-01 00:00:00,2020-05-15 00:00:00,E,IT Operations Project,ML/Python/,Denver,No,2-3
836,2020-03-01 00:00:00,2020-06-15 00:00:00,E,Account Leadership Project,PowerPoint/Oral communication/,Denver,No,4-5
837,2020-10-01 00:00:00,2020-11-15 00:00:00,B,IT Operations Project,Python/ML/Excel/,NYC,Yes,2-3
838,2020-11-01 00:00:00,2020-12-15 00:00:00,C,Strategy Project,Critical thinking/Excel/PowerPoint/,DC,No,4-5
839,2020-11-01 00:00:00,2020-12-15 00:00:00,B,Engineering Project,Python/,Denver,No,9-10
840,2020-02-01 00:00:00,2020-11-15 00:00:00,H,Security Project,Excel/Cloud/,Boston,Yes,10-11
841,2020-02-01 00:00:00,2020-12-15 00:00:00,A,Finance Project,SAP/SAP/,NYC,Yes,1-2
842,2020-10-01 00:00:00,2020-12-15 00:00:00,C,Design Project,Excel/,DC,No,1-2
843,2020-01-01 00:00:00,2020-01-15 00:00:00,H,Security Project,Oracle/ML/,Denver,No,5-6
844,2020-01-01 00:00:00,2020-10-15 00:00:00,G,Design Project,PhotoShop/PhotoShop/,NYC,Yes,7-8
845,2020-10-01 00:00:00,2020-10-15 00:00:00,B,Strategy Project,Excel/,Chicago,No,7-8
846,2020-02-01 00:00:00,2020-04-15 00:00:00,A,Human Resources Project,Oral communication/Oral communication/,Denver,No,8-9
847,2020-10-01 00:00:00,2020-10-15 00:00:00,H,Human Resources Project,Oral communication/,Boston,No,3-4
848,2020-12-01 00:00:00,2020-12-15 00:00:00,B,Design Project,Excel/PhotoShop/,DC,No,8-9
