Project UID,Start Date,End Date,Client,Project Name,Required Skills,Location,Local Requirement,Level,Service
3831,2020-05-01 00:00:00,2020-08-15 00:00:00,F,Business Project,PowerPoint/Salesforce/,Denver,No,1-2,Technology
3832,2020-06-01 00:00:00,2020-07-15 00:00:00,E,Account Leadership Project,ML/,NYC,No,8-9,Interactive
3833,2020-07-01 00:00:00,2020-07-15 00:00:00,F,Finance Project,QuickBooks/Excel/SAP/,Denver,No,7-8,Technology
3834,2020-08-01 00:00:00,2020-08-15 00:00:00,H,Account Leadership Project,ML/,NYC,No,9-10,Operations
3835,2020-01-01 00:00:00,2020-02-15 00:00:00,B,Security Project,PowerPoint/,NYC,Yes,9-10,Strategy & Consulting
3836,2020-08-01 00:00:00,2020-09-15 00:00:00,D,Business Project,Excel/Excel/Excel/,Chicago,Yes,2-3,Interactive
3837,2020-12-01 00:00:00,2020-12-15 00:00:00,G,Business Project,PowerPoint/Salesforce/,NYC,Yes,10-11,Operations
3838,2020-10-01 00:00:00,2020-11-15 00:00:00,C,Account Leadership Project,ML/Cloud/Excel/,Boston,No,9-10,Operations
3839,2020-10-01 00:00:00,2020-10-15 00:00:00,H,Business Project,Excel/Excel/Excel/,Denver,No,10-11,Strategy & Consulting
3840,2020-05-01 00:00:00,2020-06-15 00:00:00,D,Human Resources Project,PowerPoint/Excel/Excel/,Boston,Yes,8-9,Interactive
3841,2020-07-01 00:00:00,2020-10-15 00:00:00,C,Engineering Project,Python/Java/,Boston,No,8-9,Interactive
3842,2020-12-01 00:00:00,2020-12-15 00:00:00,E,Design Project,Adobe/PowerPoint/Adobe/,Boston,No,1-2,Strategy & Consulting
3843,2020-04-01 00:00:00,2020-07-15 00:00:00,B,Finance Project,Excel/SAP/,NYC,Yes,5-6,Strategy & Consulting
3844,2020-05-01 00:00:00,2020-05-15 00:00:00,G,Legal Project,PowerPoint/Oral communication/,Boston,No,5-6,Operations
3845,2020-09-01 00:00:00,2020-09-15 00:00:00,B,Account Leadership Project,Leadership/,Boston,Yes,3-4,Strategy & Consulting
3846,2020-10-01 00:00:00,2020-10-15 00:00:00,H,Account Leadership Project,PowerPoint/,NYC,Yes,2-3,Interactive
3847,2020-06-01 00:00:00,2020-09-15 00:00:00,F,Strategy Project,Critical thinking/Excel/,Chicago,No,6-7,Technology
3848,2020-09-01 00:00:00,2020-11-15 00:00:00,D,Strategy Project,Critical thinking/,Boston,Yes,1-2,Interactive
3849,2020-08-01 00:00:00,2020-11-15 00:00:00,C,Business Project,PowerPoint/Salesforce/,Denver,Yes,1-2,Strategy & Consulting
3850,2020-08-01 00:00:00,2020-09-15 00:00:00,D,Design Project,PhotoShop/Excel/Excel/,Boston,Yes,10-11,Interactive
3851,2020-03-01 00:00:00,2020-10-15 00:00:00,B,Design Project,PowerPoint/Excel/PhotoShop/,Chicago,No,7-8,Interactive
3852,2020-10-01 00:00:00,2020-12-15 00:00:00,G,Strategy Project,Critical thinking/,DC,No,10-11,Operations
3853,2020-05-01 00:00:00,2020-12-15 00:00:00,B,Engineering Project,Excel/MATLAB/,Denver,No,1-2,Operations
3854,2020-07-01 00:00:00,2020-10-15 00:00:00,E,Human Resources Project,Oral communication/Excel/,NYC,No,6-7,Technology
3855,2020-11-01 00:00:00,2020-12-15 00:00:00,F,Engineering Project,Excel/Python/,DC,No,2-3,Technology
3856,2020-09-01 00:00:00,2020-09-15 00:00:00,C,Design Project,Excel/,Boston,Yes,6-7,Strategy & Consulting
3857,2020-10-01 00:00:00,2020-12-15 00:00:00,A,Strategy Project,Critical thinking/,NYC,No,7-8,Technology
3858,2020-03-01 00:00:00,2020-11-15 00:00:00,E,IT Operations Project,Cloud/Oracle/,Chicago,Yes,3-4,Operations
3859,2020-08-01 00:00:00,2020-10-15 00:00:00,B,Business Project,Salesforce/,DC,Yes,4-5,Interactive
3860,2020-10-01 00:00:00,2020-10-15 00:00:00,B,Engineering Project,Java/Excel/PowerPoint/,NYC,Yes,5-6,Strategy & Consulting
3861,2020-05-01 00:00:00,2020-06-15 00:00:00,C,IT Operations Project,ML/,Chicago,No,8-9,Technology
3862,2020-01-01 00:00:00,2020-08-15 00:00:00,G,Legal Project,PowerPoint/Bar/,Chicago,No,3-4,Strategy & Consulting
3863,2020-04-01 00:00:00,2020-07-15 00:00:00,G,Account Leadership Project,Excel/,Boston,No,7-8,Strategy & Consulting
3864,2020-09-01 00:00:00,2020-12-15 00:00:00,G,Engineering Project,MATLAB/MATLAB/Excel/,DC,No,2-3,Operations
3865,2020-04-01 00:00:00,2020-05-15 00:00:00,B,Legal Project,Excel/,NYC,Yes,7-8,Technology
3866,2020-01-01 00:00:00,2020-06-15 00:00:00,F,IT Operations Project,Cloud/Java/Oracle/,Denver,No,8-9,Strategy & Consulting
3867,2020-04-01 00:00:00,2020-04-15 00:00:00,E,Engineering Project,PowerPoint/,Boston,No,4-5,Operations
3868,2020-11-01 00:00:00,2020-12-15 00:00:00,F,Account Leadership Project,Excel/Leadership/,NYC,Yes,6-7,Operations
3869,2020-08-01 00:00:00,2020-11-15 00:00:00,A,Finance Project,PowerPoint/PowerPoint/SAP/,Chicago,No,1-2,Interactive
3870,2020-03-01 00:00:00,2020-08-15 00:00:00,A,IT Operations Project,Oracle/Java/,Boston,Yes,10-11,Strategy & Consulting
3871,2020-09-01 00:00:00,2020-12-15 00:00:00,G,Strategy Project,Critical thinking/Excel/,DC,Yes,3-4,Interactive
3872,2020-09-01 00:00:00,2020-12-15 00:00:00,B,Design Project,Excel/PhotoShop/,Denver,No,9-10,Strategy & Consulting
3873,2020-12-01 00:00:00,2020-12-15 00:00:00,G,Engineering Project,PowerPoint/Java/MATLAB/,Denver,Yes,10-11,Technology
3874,2020-01-01 00:00:00,2020-05-15 00:00:00,E,Legal Project,Bar/PowerPoint/Oral communication/,Chicago,Yes,9-10,Operations
3875,2020-01-01 00:00:00,2020-07-15 00:00:00,F,Security Project,Java/PowerPoint/ML/,NYC,No,8-9,Technology
3876,2020-11-01 00:00:00,2020-11-15 00:00:00,G,IT Operations Project,Oracle/Excel/,NYC,No,2-3,Strategy & Consulting
3877,2020-10-01 00:00:00,2020-11-15 00:00:00,A,Finance Project,PowerPoint/SAP/Excel/,Denver,Yes,6-7,Technology
3878,2020-08-01 00:00:00,2020-09-15 00:00:00,D,Business Project,PowerPoint/PowerPoint/,Denver,No,7-8,Operations
3879,2020-04-01 00:00:00,2020-12-15 00:00:00,G,Engineering Project,PowerPoint/Java/Python/,Denver,No,5-6,Interactive
3880,2020-10-01 00:00:00,2020-11-15 00:00:00,H,Legal Project,Oral communication/PowerPoint/PowerPoint/,Boston,No,10-11,Interactive
3881,2020-02-01 00:00:00,2020-05-15 00:00:00,B,Account Leadership Project,Oral communication/Leadership/PowerPoint/,Boston,Yes,1-2,Operations
3882,2020-07-01 00:00:00,2020-12-15 00:00:00,E,Design Project,PowerPoint/Excel/,Chicago,Yes,8-9,Operations
3883,2020-03-01 00:00:00,2020-12-15 00:00:00,A,Security Project,Python/Java/,DC,Yes,2-3,Technology
3884,2020-09-01 00:00:00,2020-09-15 00:00:00,E,Design Project,PowerPoint/Adobe/Excel/,Denver,Yes,9-10,Interactive
3885,2020-11-01 00:00:00,2020-11-15 00:00:00,G,Account Leadership Project,PowerPoint/PowerPoint/Cloud/,NYC,No,5-6,Operations
3886,2020-11-01 00:00:00,2020-11-15 00:00:00,E,Engineering Project,Python/PowerPoint/PowerPoint/,NYC,No,3-4,Operations
3887,2020-11-01 00:00:00,2020-11-15 00:00:00,C,Legal Project,PowerPoint/Bar/Excel/,Denver,Yes,8-9,Technology
3888,2020-07-01 00:00:00,2020-08-15 00:00:00,G,Human Resources Project,Oral communication/,Chicago,Yes,1-2,Technology
3889,2020-04-01 00:00:00,2020-06-15 00:00:00,B,Design Project,React.js/Excel/,Denver,No,1-2,Interactive
3890,2020-10-01 00:00:00,2020-11-15 00:00:00,H,IT Operations Project,Cloud/Java/,DC,No,7-8,Technology
3891,2020-09-01 00:00:00,2020-10-15 00:00:00,A,Human Resources Project,Workday/,DC,Yes,7-8,Technology
3892,2020-10-01 00:00:00,2020-10-15 00:00:00,C,Security Project,ML/Oracle/Java/,Boston,No,4-5,Interactive
3893,2020-10-01 00:00:00,2020-12-15 00:00:00,A,Security Project,Cloud/Python/,Boston,No,7-8,Technology
3894,2020-02-01 00:00:00,2020-07-15 00:00:00,D,Design Project,React.js/,Chicago,Yes,2-3,Strategy & Consulting
3895,2020-09-01 00:00:00,2020-12-15 00:00:00,C,Human Resources Project,Oral communication/PowerPoint/,Denver,Yes,7-8,Interactive
3896,2020-09-01 00:00:00,2020-11-15 00:00:00,D,Design Project,Excel/PowerPoint/,Chicago,Yes,8-9,Interactive
3897,2020-12-01 00:00:00,2020-12-15 00:00:00,B,Human Resources Project,Oral communication/PowerPoint/,NYC,Yes,2-3,Technology
3898,2020-02-01 00:00:00,2020-12-15 00:00:00,C,Engineering Project,Java/,NYC,Yes,7-8,Interactive
3899,2020-08-01 00:00:00,2020-10-15 00:00:00,H,Engineering Project,PowerPoint/MATLAB/,Denver,Yes,2-3,Technology
3900,2020-08-01 00:00:00,2020-10-15 00:00:00,C,Human Resources Project,PowerPoint/Excel/,Denver,Yes,7-8,Strategy & Consulting
3901,2020-04-01 00:00:00,2020-09-15 00:00:00,F,Security Project,Python/PowerPoint/,DC,Yes,7-8,Strategy & Consulting
3902,2020-11-01 00:00:00,2020-12-15 00:00:00,D,Strategy Project,PowerPoint/PowerPoint/,DC,No,7-8,Strategy & Consulting
3903,2020-11-01 00:00:00,2020-11-15 00:00:00,B,Strategy Project,Critical thinking/,NYC,No,6-7,Operations
3904,2020-04-01 00:00:00,2020-12-15 00:00:00,F,Security Project,Python/,Boston,No,7-8,Strategy & Consulting
3905,2020-02-01 00:00:00,2020-12-15 00:00:00,A,Finance Project,SAP/PowerPoint/SAP/,Boston,Yes,3-4,Interactive
3906,2020-12-01 00:00:00,2020-12-15 00:00:00,G,Business Project,PowerPoint/Salesforce/,Chicago,Yes,6-7,Operations
3907,2020-10-01 00:00:00,2020-10-15 00:00:00,F,Business Project,PowerPoint/,DC,No,4-5,Operations
3908,2020-09-01 00:00:00,2020-11-15 00:00:00,G,Human Resources Project,Oral communication/PowerPoint/Excel/,NYC,Yes,8-9,Operations
3909,2020-05-01 00:00:00,2020-09-15 00:00:00,C,Human Resources Project,Oral communication/PowerPoint/,Chicago,Yes,7-8,Operations
3910,2020-07-01 00:00:00,2020-10-15 00:00:00,E,IT Operations Project,Cloud/ML/,DC,Yes,2-3,Operations
3911,2020-11-01 00:00:00,2020-11-15 00:00:00,H,Engineering Project,Java/,Boston,Yes,5-6,Strategy & Consulting
3912,2020-02-01 00:00:00,2020-03-15 00:00:00,C,IT Operations Project,PowerPoint/,Chicago,No,7-8,Operations
3913,2020-08-01 00:00:00,2020-11-15 00:00:00,E,Security Project,ML/Java/ML/,NYC,Yes,4-5,Technology
3914,2020-01-01 00:00:00,2020-02-15 00:00:00,F,Legal Project,Oral communication/PowerPoint/Oral communication/,DC,No,9-10,Technology
3915,2020-04-01 00:00:00,2020-08-15 00:00:00,E,Account Leadership Project,Excel/Leadership/,Denver,Yes,8-9,Technology
3916,2020-04-01 00:00:00,2020-06-15 00:00:00,H,Legal Project,Bar/,Denver,Yes,4-5,Technology
3917,2020-01-01 00:00:00,2020-12-15 00:00:00,D,Business Project,Salesforce/,NYC,Yes,3-4,Operations
3918,2020-09-01 00:00:00,2020-12-15 00:00:00,G,Legal Project,PowerPoint/Excel/Bar/,Denver,No,6-7,Operations
3919,2020-02-01 00:00:00,2020-07-15 00:00:00,B,Strategy Project,PowerPoint/Excel/Critical thinking/,Chicago,Yes,5-6,Technology
3920,2020-08-01 00:00:00,2020-11-15 00:00:00,A,Legal Project,Bar/,Chicago,Yes,4-5,Interactive
3921,2020-08-01 00:00:00,2020-09-15 00:00:00,E,Design Project,Adobe/Excel/Adobe/,Chicago,Yes,2-3,Operations
3922,2020-11-01 00:00:00,2020-11-15 00:00:00,F,Finance Project,PowerPoint/PowerPoint/SAP/,Chicago,No,4-5,Operations
3923,2020-11-01 00:00:00,2020-12-15 00:00:00,H,Legal Project,Excel/Oral communication/Excel/,Chicago,No,6-7,Technology
3924,2020-09-01 00:00:00,2020-12-15 00:00:00,H,Engineering Project,Python/PowerPoint/Java/,NYC,Yes,7-8,Strategy & Consulting
3925,2020-10-01 00:00:00,2020-11-15 00:00:00,F,Strategy Project,PowerPoint/PowerPoint/Excel/,Denver,No,5-6,Technology
3926,2020-01-01 00:00:00,2020-03-15 00:00:00,C,Human Resources Project,PowerPoint/Excel/,Chicago,No,10-11,Interactive
3927,2020-04-01 00:00:00,2020-12-15 00:00:00,H,Business Project,Excel/PowerPoint/,Denver,Yes,5-6,Technology
3928,2020-05-01 00:00:00,2020-10-15 00:00:00,G,Business Project,PowerPoint/PowerPoint/Excel/,Chicago,No,8-9,Technology
3929,2020-04-01 00:00:00,2020-06-15 00:00:00,B,Human Resources Project,Workday/Workday/Workday/,Denver,Yes,8-9,Strategy & Consulting
3930,2020-11-01 00:00:00,2020-11-15 00:00:00,E,Legal Project,Excel/Oral communication/Oral communication/,Boston,No,7-8,Strategy & Consulting
3931,2020-02-01 00:00:00,2020-10-15 00:00:00,H,Human Resources Project,Oral communication/,NYC,No,5-6,Strategy & Consulting
3932,2020-11-01 00:00:00,2020-11-15 00:00:00,E,IT Operations Project,Python/,DC,No,7-8,Interactive
3933,2020-03-01 00:00:00,2020-06-15 00:00:00,F,Human Resources Project,PowerPoint/Oral communication/,Denver,No,1-2,Strategy & Consulting
3934,2020-12-01 00:00:00,2020-12-15 00:00:00,E,Engineering Project,MATLAB/MATLAB/,Chicago,Yes,4-5,Technology
3935,2020-12-01 00:00:00,2020-12-15 00:00:00,F,Human Resources Project,Oral communication/,Boston,No,2-3,Strategy & Consulting
3936,2020-02-01 00:00:00,2020-07-15 00:00:00,E,Business Project,Excel/Excel/,DC,Yes,3-4,Operations
3937,2020-03-01 00:00:00,2020-10-15 00:00:00,B,Engineering Project,Python/,NYC,Yes,2-3,Strategy & Consulting
3938,2020-06-01 00:00:00,2020-06-15 00:00:00,C,Account Leadership Project,Leadership/ML/Cloud/,DC,Yes,6-7,Operations
3939,2020-05-01 00:00:00,2020-05-15 00:00:00,B,Engineering Project,Excel/,NYC,Yes,3-4,Interactive
3940,2020-01-01 00:00:00,2020-07-15 00:00:00,G,Engineering Project,PowerPoint/,NYC,Yes,9-10,Operations
3941,2020-09-01 00:00:00,2020-10-15 00:00:00,C,Business Project,Excel/,Chicago,No,4-5,Operations
3942,2020-04-01 00:00:00,2020-06-15 00:00:00,D,Account Leadership Project,Excel/,Chicago,No,9-10,Operations
3943,2020-09-01 00:00:00,2020-12-15 00:00:00,F,Strategy Project,Excel/PowerPoint/,Boston,Yes,4-5,Interactive
3944,2020-01-01 00:00:00,2020-10-15 00:00:00,D,IT Operations Project,ML/Cloud/,DC,Yes,7-8,Strategy & Consulting
3945,2020-11-01 00:00:00,2020-11-15 00:00:00,H,Strategy Project,PowerPoint/,NYC,No,4-5,Strategy & Consulting
3946,2020-09-01 00:00:00,2020-09-15 00:00:00,E,Business Project,Excel/PowerPoint/Salesforce/,Denver,No,7-8,Strategy & Consulting
3947,2020-12-01 00:00:00,2020-12-15 00:00:00,E,Business Project,PowerPoint/Salesforce/Salesforce/,DC,No,4-5,Operations
3948,2020-02-01 00:00:00,2020-05-15 00:00:00,H,Human Resources Project,Excel/Excel/,NYC,Yes,4-5,Strategy & Consulting
3949,2020-04-01 00:00:00,2020-12-15 00:00:00,F,Finance Project,PowerPoint/SAP/,DC,Yes,9-10,Technology
3950,2020-06-01 00:00:00,2020-11-15 00:00:00,D,Business Project,Excel/Excel/,Denver,Yes,7-8,Technology
3951,2020-01-01 00:00:00,2020-11-15 00:00:00,B,Engineering Project,Excel/MATLAB/,NYC,Yes,9-10,Strategy & Consulting
3952,2020-09-01 00:00:00,2020-09-15 00:00:00,F,Engineering Project,Python/Python/,DC,No,5-6,Operations
3953,2020-03-01 00:00:00,2020-05-15 00:00:00,C,Finance Project,Excel/,DC,No,6-7,Technology
3954,2020-07-01 00:00:00,2020-08-15 00:00:00,E,Account Leadership Project,ML/PowerPoint/,Chicago,No,9-10,Interactive
3955,2020-03-01 00:00:00,2020-08-15 00:00:00,F,Design Project,Adobe/,Denver,Yes,10-11,Technology
3956,2020-05-01 00:00:00,2020-12-15 00:00:00,D,Human Resources Project,Oral communication/,NYC,Yes,8-9,Interactive
3957,2020-03-01 00:00:00,2020-12-15 00:00:00,F,Legal Project,PowerPoint/,Boston,No,6-7,Strategy & Consulting
3958,2020-03-01 00:00:00,2020-11-15 00:00:00,H,Finance Project,SAP/,NYC,Yes,4-5,Strategy & Consulting
3959,2020-06-01 00:00:00,2020-12-15 00:00:00,B,Strategy Project,Excel/,Denver,No,4-5,Interactive
3960,2020-07-01 00:00:00,2020-12-15 00:00:00,H,Business Project,Excel/Salesforce/,Denver,No,1-2,Interactive
3961,2020-07-01 00:00:00,2020-08-15 00:00:00,G,Business Project,PowerPoint/,Chicago,No,4-5,Technology
3962,2020-06-01 00:00:00,2020-11-15 00:00:00,D,Finance Project,Excel/,Denver,No,2-3,Operations
3963,2020-05-01 00:00:00,2020-08-15 00:00:00,B,IT Operations Project,Excel/Oracle/,DC,No,8-9,Operations
3964,2020-09-01 00:00:00,2020-09-15 00:00:00,G,Design Project,Adobe/React.js/,DC,Yes,7-8,Operations
3965,2020-11-01 00:00:00,2020-12-15 00:00:00,B,Engineering Project,Excel/Java/,Denver,No,2-3,Interactive
3966,2020-03-01 00:00:00,2020-07-15 00:00:00,H,Design Project,Adobe/Excel/,Boston,No,3-4,Operations
3967,2020-09-01 00:00:00,2020-09-15 00:00:00,B,Account Leadership Project,Excel/Oral communication/ML/,NYC,No,1-2,Interactive
3968,2020-04-01 00:00:00,2020-06-15 00:00:00,E,Design Project,Excel/PowerPoint/,Chicago,No,4-5,Interactive
3969,2020-11-01 00:00:00,2020-11-15 00:00:00,B,Human Resources Project,Oral communication/Workday/,Denver,Yes,10-11,Interactive
3970,2020-08-01 00:00:00,2020-10-15 00:00:00,C,Human Resources Project,Excel/,Boston,No,6-7,Technology
3971,2020-05-01 00:00:00,2020-06-15 00:00:00,C,Account Leadership Project,Cloud/Leadership/,NYC,Yes,5-6,Strategy & Consulting
3972,2020-06-01 00:00:00,2020-10-15 00:00:00,B,Finance Project,Excel/SAP/SAP/,DC,Yes,2-3,Interactive
3973,2020-02-01 00:00:00,2020-02-15 00:00:00,F,Legal Project,PowerPoint/Bar/,DC,Yes,5-6,Interactive
3974,2020-05-01 00:00:00,2020-12-15 00:00:00,E,Security Project,Java/Excel/,DC,No,3-4,Interactive
3975,2020-03-01 00:00:00,2020-04-15 00:00:00,C,Business Project,Excel/,DC,Yes,8-9,Operations
3976,2020-09-01 00:00:00,2020-10-15 00:00:00,E,IT Operations Project,Excel/,Chicago,No,10-11,Strategy & Consulting
3977,2020-03-01 00:00:00,2020-08-15 00:00:00,E,Business Project,Excel/,DC,No,7-8,Interactive
3978,2020-10-01 00:00:00,2020-10-15 00:00:00,B,Legal Project,PowerPoint/PowerPoint/Excel/,Chicago,No,1-2,Interactive
3979,2020-08-01 00:00:00,2020-11-15 00:00:00,B,Legal Project,Bar/,NYC,Yes,10-11,Operations
3980,2020-06-01 00:00:00,2020-09-15 00:00:00,B,IT Operations Project,ML/Python/,Denver,No,5-6,Strategy & Consulting
3981,2020-07-01 00:00:00,2020-08-15 00:00:00,H,Account Leadership Project,ML/Leadership/,NYC,Yes,7-8,Strategy & Consulting
3982,2020-12-01 00:00:00,2020-12-15 00:00:00,F,Security Project,Cloud/Oracle/Java/,Boston,Yes,4-5,Strategy & Consulting
3983,2020-01-01 00:00:00,2020-07-15 00:00:00,B,Strategy Project,Critical thinking/Critical thinking/,DC,Yes,2-3,Strategy & Consulting
3984,2020-10-01 00:00:00,2020-11-15 00:00:00,D,Engineering Project,MATLAB/,DC,Yes,7-8,Technology
3985,2020-02-01 00:00:00,2020-09-15 00:00:00,B,Human Resources Project,Workday/Excel/Workday/,Chicago,Yes,3-4,Interactive
3986,2020-03-01 00:00:00,2020-10-15 00:00:00,F,Finance Project,SAP/SAP/PowerPoint/,NYC,Yes,4-5,Strategy & Consulting
3987,2020-05-01 00:00:00,2020-09-15 00:00:00,D,Strategy Project,PowerPoint/PowerPoint/Excel/,NYC,No,6-7,Interactive
3988,2020-12-01 00:00:00,2020-12-15 00:00:00,B,Design Project,PowerPoint/PowerPoint/PhotoShop/,Denver,Yes,7-8,Operations
3989,2020-03-01 00:00:00,2020-06-15 00:00:00,F,Business Project,Salesforce/Excel/Excel/,Chicago,No,3-4,Technology
3990,2020-11-01 00:00:00,2020-11-15 00:00:00,B,Legal Project,Oral communication/PowerPoint/,Denver,No,8-9,Strategy & Consulting
3991,2020-02-01 00:00:00,2020-06-15 00:00:00,F,IT Operations Project,Python/ML/Python/,Boston,Yes,7-8,Technology
3992,2020-07-01 00:00:00,2020-10-15 00:00:00,F,Human Resources Project,Oral communication/,Boston,No,8-9,Operations
3993,2020-05-01 00:00:00,2020-07-15 00:00:00,E,Account Leadership Project,PowerPoint/Oral communication/PowerPoint/,Chicago,Yes,10-11,Interactive
3994,2020-01-01 00:00:00,2020-06-15 00:00:00,G,Finance Project,Excel/,Denver,Yes,8-9,Interactive
3995,2020-11-01 00:00:00,2020-12-15 00:00:00,E,Strategy Project,Excel/,DC,No,5-6,Strategy & Consulting
3996,2020-10-01 00:00:00,2020-10-15 00:00:00,D,Engineering Project,Python/Excel/PowerPoint/,NYC,Yes,8-9,Strategy & Consulting
3997,2020-07-01 00:00:00,2020-09-15 00:00:00,B,Business Project,Salesforce/,Chicago,Yes,2-3,Strategy & Consulting
3998,2020-10-01 00:00:00,2020-11-15 00:00:00,D,Account Leadership Project,Excel/,Boston,Yes,4-5,Technology
3999,2020-06-01 00:00:00,2020-08-15 00:00:00,H,Account Leadership Project,ML/Cloud/Oral communication/,DC,No,2-3,Technology
4000,2020-05-01 00:00:00,2020-07-15 00:00:00,G,IT Operations Project,Excel/ML/Python/,DC,Yes,5-6,Operations
4001,2020-02-01 00:00:00,2020-04-15 00:00:00,E,Legal Project,Bar/Bar/PowerPoint/,Denver,Yes,9-10,Operations
4002,2020-09-01 00:00:00,2020-10-15 00:00:00,H,Human Resources Project,Oral communication/Excel/,DC,No,6-7,Operations
4003,2020-09-01 00:00:00,2020-11-15 00:00:00,G,Design Project,Excel/,NYC,No,7-8,Operations
4004,2020-09-01 00:00:00,2020-12-15 00:00:00,E,Strategy Project,Critical thinking/Critical thinking/Excel/,DC,Yes,7-8,Operations
4005,2020-07-01 00:00:00,2020-08-15 00:00:00,D,Human Resources Project,Oral communication/Workday/,NYC,No,10-11,Operations
4006,2020-07-01 00:00:00,2020-07-15 00:00:00,C,Business Project,Excel/PowerPoint/PowerPoint/,Denver,Yes,9-10,Operations
4007,2020-05-01 00:00:00,2020-08-15 00:00:00,E,Engineering Project,Java/PowerPoint/Python/,Boston,Yes,1-2,Operations
4008,2020-12-01 00:00:00,2020-12-15 00:00:00,B,Strategy Project,PowerPoint/,DC,Yes,4-5,Technology
4009,2020-04-01 00:00:00,2020-12-15 00:00:00,B,Strategy Project,PowerPoint/PowerPoint/Excel/,DC,No,7-8,Interactive
4010,2020-02-01 00:00:00,2020-12-15 00:00:00,D,Human Resources Project,Workday/,Denver,Yes,6-7,Interactive
4011,2020-01-01 00:00:00,2020-05-15 00:00:00,D,Legal Project,Bar/,NYC,Yes,10-11,Strategy & Consulting
4012,2020-09-01 00:00:00,2020-12-15 00:00:00,C,Legal Project,Oral communication/,Chicago,Yes,8-9,Interactive
4013,2020-04-01 00:00:00,2020-11-15 00:00:00,F,Strategy Project,Excel/PowerPoint/Excel/,Denver,Yes,2-3,Interactive
4014,2020-03-01 00:00:00,2020-10-15 00:00:00,D,Security Project,Oracle/Excel/,Chicago,No,3-4,Operations
4015,2020-07-01 00:00:00,2020-08-15 00:00:00,H,Security Project,Python/Oracle/,Boston,No,2-3,Strategy & Consulting
4016,2020-07-01 00:00:00,2020-07-15 00:00:00,F,IT Operations Project,ML/Excel/Java/,Boston,Yes,5-6,Technology
4017,2020-09-01 00:00:00,2020-10-15 00:00:00,G,Legal Project,Oral communication/Bar/Oral communication/,DC,Yes,2-3,Strategy & Consulting
4018,2020-02-01 00:00:00,2020-05-15 00:00:00,B,Business Project,Excel/PowerPoint/Salesforce/,Boston,No,10-11,Strategy & Consulting
4019,2020-02-01 00:00:00,2020-04-15 00:00:00,A,Engineering Project,Python/,Chicago,Yes,9-10,Interactive
4020,2020-09-01 00:00:00,2020-11-15 00:00:00,B,Design Project,Adobe/PowerPoint/PowerPoint/,Boston,Yes,8-9,Technology
4021,2020-07-01 00:00:00,2020-08-15 00:00:00,G,Legal Project,PowerPoint/Excel/,Boston,No,9-10,Interactive
4022,2020-05-01 00:00:00,2020-09-15 00:00:00,G,IT Operations Project,PowerPoint/Cloud/,DC,Yes,5-6,Technology
4023,2020-01-01 00:00:00,2020-09-15 00:00:00,C,IT Operations Project,Excel/,Denver,Yes,1-2,Strategy & Consulting
4024,2020-01-01 00:00:00,2020-08-15 00:00:00,H,Strategy Project,Critical thinking/Critical thinking/,Boston,No,3-4,Operations
4025,2020-05-01 00:00:00,2020-07-15 00:00:00,A,Human Resources Project,Workday/Oral communication/Excel/,Denver,Yes,8-9,Strategy & Consulting
4026,2020-03-01 00:00:00,2020-11-15 00:00:00,C,Account Leadership Project,ML/,Denver,No,3-4,Interactive
4027,2020-10-01 00:00:00,2020-10-15 00:00:00,E,Business Project,Excel/Salesforce/PowerPoint/,Denver,Yes,10-11,Interactive
4028,2020-12-01 00:00:00,2020-12-15 00:00:00,B,Account Leadership Project,Excel/,Boston,Yes,4-5,Strategy & Consulting
4029,2020-05-01 00:00:00,2020-10-15 00:00:00,G,Account Leadership Project,Cloud/Oral communication/,NYC,No,2-3,Technology
4030,2020-07-01 00:00:00,2020-07-15 00:00:00,A,Security Project,Java/Java/,Chicago,No,8-9,Operations
4031,2020-06-01 00:00:00,2020-12-15 00:00:00,D,Human Resources Project,PowerPoint/Oral communication/PowerPoint/,Chicago,Yes,1-2,Interactive
4032,2020-08-01 00:00:00,2020-10-15 00:00:00,C,Design Project,PhotoShop/Adobe/,DC,No,3-4,Technology
4033,2020-08-01 00:00:00,2020-09-15 00:00:00,B,Legal Project,Oral communication/Oral communication/PowerPoint/,NYC,No,2-3,Interactive
4034,2020-04-01 00:00:00,2020-08-15 00:00:00,B,Security Project,Java/,Boston,Yes,2-3,Strategy & Consulting
4035,2020-04-01 00:00:00,2020-06-15 00:00:00,D,IT Operations Project,Java/Oracle/,Denver,No,4-5,Interactive
4036,2020-02-01 00:00:00,2020-06-15 00:00:00,F,Engineering Project,Excel/PowerPoint/Java/,Chicago,Yes,1-2,Technology
4037,2020-08-01 00:00:00,2020-11-15 00:00:00,H,Strategy Project,Excel/,NYC,No,8-9,Strategy & Consulting
4038,2020-08-01 00:00:00,2020-10-15 00:00:00,B,Security Project,Oracle/Java/,Boston,Yes,9-10,Interactive
4039,2020-06-01 00:00:00,2020-07-15 00:00:00,C,IT Operations Project,PowerPoint/Python/Oracle/,Denver,Yes,8-9,Technology
4040,2020-02-01 00:00:00,2020-07-15 00:00:00,E,Account Leadership Project,Cloud/,Chicago,No,9-10,Strategy & Consulting
4041,2020-04-01 00:00:00,2020-12-15 00:00:00,A,Engineering Project,Java/Excel/,DC,No,10-11,Interactive
4042,2020-02-01 00:00:00,2020-08-15 00:00:00,B,Engineering Project,PowerPoint/PowerPoint/,Chicago,No,6-7,Technology
