UID,Chargeability,Start Date,End Date,Client,Project Name,Required Skills,Location,Local Requirement,Level
1301,Yes,2020-02-01 00:00:00,2020-05-15 00:00:00,E,Application Security F/P Analysis,Oracle,DC,No,10-11
1302,Yes,2020-01-01 00:00:00,2020-07-15 00:00:00,H,Cyber Integration,Java,DC,Yes,2-3
1303,Yes,2020-03-01 00:00:00,2020-10-15 00:00:00,D,Application Security F/P Analysis,ML,NYC,No,6-7
1304,Yes,2020-01-01 00:00:00,2020-07-15 00:00:00,E,Application Security F/P Analysis,Java,NYC,Yes,9-10
1305,Yes,2020-10-01 00:00:00,2020-11-15 00:00:00,H,Avande,Cloud,DC,No,9-10
1306,No,2020-05-01 00:00:00,2020-06-15 00:00:00,G,Chevron Cloud Security,ML,Denver,No,4-5
1307,Yes,2020-07-01 00:00:00,2020-09-15 00:00:00,E,iDefense- Odin,Cloud,Chicago,Yes,8-9
1308,Yes,2020-06-01 00:00:00,2020-11-15 00:00:00,F,Avande,Oracle,DC,Yes,8-9
1309,No,2020-01-01 00:00:00,2020-12-15 00:00:00,C,AT&T Application Scanning,Oracle,DC,No,3-4
1310,No,2020-08-01 00:00:00,2020-09-15 00:00:00,E,Malware Analysis & Countermeasures (MAC),Oracle,DC,Yes,4-5
1311,Yes,2020-02-01 00:00:00,2020-04-15 00:00:00,B,AT&T Application Scanning,Cloud,Boston,No,5-6
1312,No,2020-01-01 00:00:00,2020-01-15 00:00:00,G,Malware Analysis & Countermeasures (MAC),Cloud,Denver,No,4-5
1313,No,2020-06-01 00:00:00,2020-06-15 00:00:00,A,Avande,Python,NYC,Yes,8-9
1314,Yes,2020-08-01 00:00:00,2020-12-15 00:00:00,E,Cyber Integration,Python,Boston,Yes,10-11
1315,No,2020-11-01 00:00:00,2020-12-15 00:00:00,D,Cyber Integration,Oracle,Denver,Yes,6-7
1316,Yes,2020-06-01 00:00:00,2020-07-15 00:00:00,F,Avande,Oracle,NYC,No,4-5
1317,Yes,2020-08-01 00:00:00,2020-10-15 00:00:00,C,Avande,Cloud,NYC,Yes,6-7
1318,Yes,2020-01-01 00:00:00,2020-10-15 00:00:00,H,Application Security F/P Analysis,Java,Boston,No,6-7
1319,Yes,2020-09-01 00:00:00,2020-09-15 00:00:00,A,Avande,Oracle,Denver,Yes,9-10
1320,Yes,2020-03-01 00:00:00,2020-04-15 00:00:00,H,Application Security F/P Analysis,Cloud,DC,Yes,4-5
1321,No,2020-09-01 00:00:00,2020-12-15 00:00:00,G,AT&T Application Scanning,ML,NYC,Yes,3-4
1322,No,2020-08-01 00:00:00,2020-08-15 00:00:00,F,Cyber Integration,Oracle,NYC,No,10-11
1323,Yes,2020-12-01 00:00:00,2020-12-15 00:00:00,G,AT&T Application Scanning,ML,NYC,Yes,6-7
1324,Yes,2020-08-01 00:00:00,2020-11-15 00:00:00,F,Avande,Python,Chicago,Yes,1-2
1325,Yes,2020-09-01 00:00:00,2020-12-15 00:00:00,B,Avande,Python,NYC,No,6-7
1326,No,2020-10-01 00:00:00,2020-11-15 00:00:00,E,AT&T Application Scanning,Cloud,Boston,No,3-4
1327,No,2020-08-01 00:00:00,2020-08-15 00:00:00,E,Chevron Cloud Security,Java,Chicago,Yes,6-7
1328,No,2020-02-01 00:00:00,2020-08-15 00:00:00,B,Cyber Integration,ML,Chicago,Yes,1-2
1329,Yes,2020-12-01 00:00:00,2020-12-15 00:00:00,F,AT&T Application Scanning,ML,NYC,No,3-4
1330,No,2020-06-01 00:00:00,2020-10-15 00:00:00,H,iDefense- Odin,ML,Boston,No,10-11
1331,No,2020-12-01 00:00:00,2020-12-15 00:00:00,C,iDefense- Zaim,Java,Chicago,No,9-10
1332,No,2020-01-01 00:00:00,2020-08-15 00:00:00,E,iDefense- Zaim,Cloud,Boston,Yes,4-5
1333,No,2020-07-01 00:00:00,2020-07-15 00:00:00,H,Application Security F/P Analysis,Oracle,Boston,Yes,4-5
1334,No,2020-06-01 00:00:00,2020-09-15 00:00:00,D,Chevron Cloud Security,ML,NYC,No,6-7
1335,No,2020-03-01 00:00:00,2020-08-15 00:00:00,C,Chevron Cloud Security,Oracle,Boston,No,2-3
1336,Yes,2020-05-01 00:00:00,2020-07-15 00:00:00,E,iDefense- Odin,Oracle,Boston,Yes,10-11
1337,Yes,2020-07-01 00:00:00,2020-11-15 00:00:00,H,Malware Analysis & Countermeasures (MAC),ML,NYC,No,10-11
1338,Yes,2020-04-01 00:00:00,2020-08-15 00:00:00,A,Cloud Security Enablement Phase 1,ML,NYC,Yes,1-2
1339,Yes,2020-12-01 00:00:00,2020-12-15 00:00:00,D,Cloud Security Enablement Phase 1,Python,DC,No,3-4
1340,Yes,2020-10-01 00:00:00,2020-10-15 00:00:00,D,Application Security F/P Analysis,ML,Denver,No,7-8
1341,No,2020-05-01 00:00:00,2020-08-15 00:00:00,H,Journey2Cloud,Cloud,Boston,No,3-4
1342,No,2020-02-01 00:00:00,2020-02-15 00:00:00,G,Malware Analysis & Countermeasures (MAC),Oracle,Denver,No,9-10
1343,Yes,2020-01-01 00:00:00,2020-02-15 00:00:00,D,Cyber Integration,Cloud,DC,Yes,7-8
1344,No,2020-09-01 00:00:00,2020-10-15 00:00:00,F,Application Security F/P Analysis,Python,DC,Yes,2-3
1345,No,2020-12-01 00:00:00,2020-12-15 00:00:00,E,Application Security F/P Analysis,Python,Chicago,No,6-7
1346,Yes,2020-08-01 00:00:00,2020-10-15 00:00:00,A,Cyber Integration,Oracle,Denver,No,8-9
1347,Yes,2020-07-01 00:00:00,2020-12-15 00:00:00,B,iDefense- Odin,Python,NYC,Yes,4-5
1348,No,2020-11-01 00:00:00,2020-12-15 00:00:00,G,Cyber Integration,Java,Denver,Yes,5-6
1349,Yes,2020-12-01 00:00:00,2020-12-15 00:00:00,D,Chevron Cloud Security,Oracle,Boston,Yes,2-3
1350,No,2020-05-01 00:00:00,2020-06-15 00:00:00,E,Malware Analysis & Countermeasures (MAC),Oracle,NYC,No,4-5
1351,Yes,2020-10-01 00:00:00,2020-10-15 00:00:00,D,Malware Analysis & Countermeasures (MAC),Python,NYC,Yes,6-7
1352,Yes,2020-10-01 00:00:00,2020-12-15 00:00:00,D,iDefense- Zaim,ML,Denver,Yes,10-11
1353,No,2020-03-01 00:00:00,2020-04-15 00:00:00,A,iDefense- Zaim,Oracle,DC,No,5-6
1354,No,2020-12-01 00:00:00,2020-12-15 00:00:00,A,Application Security F/P Analysis,Cloud,Boston,Yes,3-4
1355,No,2020-09-01 00:00:00,2020-11-15 00:00:00,B,Chevron Cloud Security,Java,Denver,Yes,8-9
1356,No,2020-12-01 00:00:00,2020-12-15 00:00:00,H,Avande,ML,Chicago,No,4-5
1357,Yes,2020-10-01 00:00:00,2020-11-15 00:00:00,A,AT&T Application Scanning,Cloud,Boston,No,2-3
1358,Yes,2020-09-01 00:00:00,2020-11-15 00:00:00,D,iDefense- Zaim,Oracle,Denver,No,9-10
1359,No,2020-05-01 00:00:00,2020-07-15 00:00:00,H,Journey2Cloud,ML,NYC,Yes,5-6
1360,Yes,2020-09-01 00:00:00,2020-11-15 00:00:00,E,Journey2Cloud,Cloud,Chicago,No,8-9
1361,No,2020-02-01 00:00:00,2020-12-15 00:00:00,C,iDefense- Zaim,Java,DC,No,4-5
1362,No,2020-08-01 00:00:00,2020-11-15 00:00:00,D,AT&T Application Scanning,Java,DC,No,4-5
1363,No,2020-12-01 00:00:00,2020-12-15 00:00:00,B,AT&T Application Scanning,Python,Chicago,No,10-11
1364,No,2020-12-01 00:00:00,2020-12-15 00:00:00,E,iDefense- Odin,Java,DC,No,3-4
1365,No,2020-12-01 00:00:00,2020-12-15 00:00:00,H,AT&T Application Scanning,ML,Chicago,Yes,7-8
1366,No,2020-11-01 00:00:00,2020-11-15 00:00:00,E,Malware Analysis & Countermeasures (MAC),ML,NYC,Yes,1-2
1367,Yes,2020-05-01 00:00:00,2020-06-15 00:00:00,A,iDefense- Zaim,Python,Chicago,Yes,4-5
1368,No,2020-01-01 00:00:00,2020-11-15 00:00:00,A,AT&T Application Scanning,Oracle,NYC,Yes,7-8
1369,Yes,2020-07-01 00:00:00,2020-08-15 00:00:00,C,Cyber Integration,Python,Chicago,Yes,9-10
1370,No,2020-03-01 00:00:00,2020-03-15 00:00:00,D,Application Security F/P Analysis,Oracle,Denver,Yes,1-2
1371,No,2020-05-01 00:00:00,2020-12-15 00:00:00,F,Journey2Cloud,Python,NYC,Yes,4-5
1372,Yes,2020-10-01 00:00:00,2020-11-15 00:00:00,E,Malware Analysis & Countermeasures (MAC),Oracle,Denver,No,8-9
1373,Yes,2020-09-01 00:00:00,2020-09-15 00:00:00,H,Malware Analysis & Countermeasures (MAC),ML,NYC,Yes,4-5
1374,No,2020-03-01 00:00:00,2020-08-15 00:00:00,E,iDefense- Odin,Oracle,Boston,Yes,7-8
1375,Yes,2020-08-01 00:00:00,2020-09-15 00:00:00,H,Malware Analysis & Countermeasures (MAC),Cloud,Denver,Yes,9-10
1376,Yes,2020-03-01 00:00:00,2020-03-15 00:00:00,E,AT&T Application Scanning,Java,Chicago,Yes,8-9
1377,No,2020-06-01 00:00:00,2020-12-15 00:00:00,D,Journey2Cloud,Oracle,DC,No,4-5
1378,Yes,2020-03-01 00:00:00,2020-03-15 00:00:00,H,Application Security F/P Analysis,Oracle,Chicago,No,3-4
1379,Yes,2020-09-01 00:00:00,2020-11-15 00:00:00,H,AT&T Application Scanning,Python,Chicago,Yes,1-2
1380,No,2020-10-01 00:00:00,2020-10-15 00:00:00,G,AT&T Application Scanning,Oracle,DC,No,9-10
1381,No,2020-01-01 00:00:00,2020-10-15 00:00:00,A,Cyber Integration,Cloud,Boston,No,6-7
1382,No,2020-04-01 00:00:00,2020-05-15 00:00:00,G,iDefense- Odin,Oracle,Chicago,No,7-8
1383,No,2020-12-01 00:00:00,2020-12-15 00:00:00,B,Chevron Cloud Security,ML,Boston,Yes,4-5
1384,No,2020-07-01 00:00:00,2020-09-15 00:00:00,H,AT&T Application Scanning,Java,Chicago,No,5-6
1385,Yes,2020-01-01 00:00:00,2020-12-15 00:00:00,C,Chevron Cloud Security,Java,Denver,No,7-8
1386,No,2020-04-01 00:00:00,2020-05-15 00:00:00,C,Cyber Integration,ML,DC,Yes,8-9
1387,Yes,2020-05-01 00:00:00,2020-11-15 00:00:00,D,Avande,Python,Denver,No,5-6
1388,Yes,2020-12-01 00:00:00,2020-12-15 00:00:00,G,Chevron Cloud Security,ML,Denver,Yes,9-10
1389,No,2020-02-01 00:00:00,2020-11-15 00:00:00,C,iDefense- Zaim,ML,NYC,Yes,3-4
1390,No,2020-05-01 00:00:00,2020-12-15 00:00:00,B,AT&T Application Scanning,Java,Boston,No,1-2
1391,Yes,2020-11-01 00:00:00,2020-12-15 00:00:00,A,Cyber Integration,Oracle,Boston,No,4-5
1392,Yes,2020-07-01 00:00:00,2020-10-15 00:00:00,C,Chevron Cloud Security,ML,DC,Yes,8-9
1393,No,2020-01-01 00:00:00,2020-06-15 00:00:00,B,Journey2Cloud,Python,DC,No,6-7
1394,No,2020-08-01 00:00:00,2020-10-15 00:00:00,E,Avande,Python,DC,No,7-8
1395,Yes,2020-06-01 00:00:00,2020-09-15 00:00:00,C,iDefense- Zaim,ML,Denver,Yes,10-11
1396,Yes,2020-07-01 00:00:00,2020-07-15 00:00:00,G,Cloud Security Enablement Phase 1,Java,NYC,No,4-5
1397,No,2020-11-01 00:00:00,2020-12-15 00:00:00,H,Malware Analysis & Countermeasures (MAC),Cloud,Boston,No,1-2
1398,Yes,2020-06-01 00:00:00,2020-10-15 00:00:00,H,iDefense- Zaim,Java,Denver,Yes,4-5
1399,No,2020-07-01 00:00:00,2020-10-15 00:00:00,F,Cloud Security Enablement Phase 1,ML,DC,Yes,7-8
1400,No,2020-07-01 00:00:00,2020-12-15 00:00:00,H,Malware Analysis & Countermeasures (MAC),Java,NYC,Yes,8-9
1401,Yes,2020-02-01 00:00:00,2020-05-15 00:00:00,A,iDefense- Odin,Java,NYC,No,7-8
1402,No,2020-04-01 00:00:00,2020-05-15 00:00:00,A,AT&T Application Scanning,Oracle,Denver,Yes,10-11
1403,No,2020-06-01 00:00:00,2020-08-15 00:00:00,C,Malware Analysis & Countermeasures (MAC),Cloud,Boston,Yes,5-6
1404,No,2020-10-01 00:00:00,2020-10-15 00:00:00,F,Cyber Integration,ML,Denver,No,4-5
1405,No,2020-08-01 00:00:00,2020-12-15 00:00:00,G,Cyber Integration,ML,Boston,No,2-3
1406,Yes,2020-07-01 00:00:00,2020-10-15 00:00:00,F,Cloud Security Enablement Phase 1,Python,Boston,Yes,3-4
1407,No,2020-01-01 00:00:00,2020-04-15 00:00:00,D,Malware Analysis & Countermeasures (MAC),ML,NYC,Yes,1-2
1408,Yes,2020-09-01 00:00:00,2020-09-15 00:00:00,F,Avande,ML,Denver,Yes,10-11
1409,No,2020-01-01 00:00:00,2020-01-15 00:00:00,A,Cyber Integration,Cloud,Chicago,Yes,5-6
1410,No,2020-01-01 00:00:00,2020-11-15 00:00:00,G,Malware Analysis & Countermeasures (MAC),Cloud,Chicago,No,7-8
1411,No,2020-06-01 00:00:00,2020-08-15 00:00:00,C,Cloud Security Enablement Phase 1,Cloud,Denver,Yes,8-9
1412,Yes,2020-09-01 00:00:00,2020-11-15 00:00:00,A,Application Security F/P Analysis,Java,Boston,Yes,9-10
1413,No,2020-10-01 00:00:00,2020-10-15 00:00:00,C,Malware Analysis & Countermeasures (MAC),Oracle,Denver,Yes,5-6
1414,No,2020-07-01 00:00:00,2020-09-15 00:00:00,H,Malware Analysis & Countermeasures (MAC),Python,Chicago,Yes,5-6
1415,No,2020-05-01 00:00:00,2020-07-15 00:00:00,C,Cyber Integration,Oracle,NYC,Yes,8-9
1416,No,2020-11-01 00:00:00,2020-11-15 00:00:00,D,Journey2Cloud,Oracle,Denver,No,2-3
1417,No,2020-04-01 00:00:00,2020-06-15 00:00:00,B,Malware Analysis & Countermeasures (MAC),Java,Chicago,Yes,5-6
1418,Yes,2020-12-01 00:00:00,2020-12-15 00:00:00,E,Application Security F/P Analysis,Oracle,NYC,Yes,5-6
1419,No,2020-04-01 00:00:00,2020-08-15 00:00:00,E,Cloud Security Enablement Phase 1,ML,Denver,Yes,3-4
1420,No,2020-08-01 00:00:00,2020-10-15 00:00:00,B,Application Security F/P Analysis,Python,NYC,Yes,10-11
1421,Yes,2020-09-01 00:00:00,2020-10-15 00:00:00,E,Chevron Cloud Security,Cloud,NYC,Yes,3-4
1422,No,2020-04-01 00:00:00,2020-12-15 00:00:00,D,Application Security F/P Analysis,Oracle,Chicago,No,6-7
1423,No,2020-06-01 00:00:00,2020-12-15 00:00:00,F,Malware Analysis & Countermeasures (MAC),ML,DC,Yes,2-3
1424,Yes,2020-05-01 00:00:00,2020-07-15 00:00:00,H,Application Security F/P Analysis,ML,NYC,Yes,10-11
1425,Yes,2020-09-01 00:00:00,2020-11-15 00:00:00,C,iDefense- Zaim,ML,Denver,No,5-6
1426,Yes,2020-06-01 00:00:00,2020-10-15 00:00:00,E,iDefense- Zaim,Cloud,Chicago,No,1-2
1427,No,2020-01-01 00:00:00,2020-11-15 00:00:00,F,iDefense- Odin,ML,DC,No,9-10
1428,No,2020-09-01 00:00:00,2020-12-15 00:00:00,D,Avande,Python,Chicago,No,10-11
1429,No,2020-02-01 00:00:00,2020-04-15 00:00:00,F,Chevron Cloud Security,Cloud,NYC,No,7-8
1430,Yes,2020-07-01 00:00:00,2020-08-15 00:00:00,G,Avande,Cloud,Denver,No,7-8
1431,No,2020-06-01 00:00:00,2020-08-15 00:00:00,F,Application Security F/P Analysis,Python,Chicago,No,1-2
1432,Yes,2020-10-01 00:00:00,2020-10-15 00:00:00,H,Chevron Cloud Security,Java,Chicago,No,3-4
1433,Yes,2020-08-01 00:00:00,2020-09-15 00:00:00,D,Avande,ML,Denver,Yes,3-4
1434,Yes,2020-06-01 00:00:00,2020-11-15 00:00:00,B,iDefense- Zaim,Python,DC,Yes,3-4
1435,Yes,2020-11-01 00:00:00,2020-12-15 00:00:00,A,Cyber Integration,Java,Boston,No,10-11
1436,Yes,2020-10-01 00:00:00,2020-10-15 00:00:00,F,AT&T Application Scanning,Oracle,Chicago,No,7-8
1437,Yes,2020-10-01 00:00:00,2020-11-15 00:00:00,H,Cloud Security Enablement Phase 1,ML,Chicago,Yes,6-7
1438,Yes,2020-07-01 00:00:00,2020-07-15 00:00:00,G,Malware Analysis & Countermeasures (MAC),Oracle,Denver,Yes,7-8
1439,Yes,2020-07-01 00:00:00,2020-11-15 00:00:00,G,Chevron Cloud Security,Oracle,Boston,Yes,4-5
1440,Yes,2020-11-01 00:00:00,2020-11-15 00:00:00,A,iDefense- Odin,Python,DC,No,9-10
1441,No,2020-10-01 00:00:00,2020-10-15 00:00:00,E,AT&T Application Scanning,Python,NYC,Yes,9-10
1442,No,2020-09-01 00:00:00,2020-12-15 00:00:00,C,iDefense- Odin,Java,Denver,Yes,1-2
1443,Yes,2020-12-01 00:00:00,2020-12-15 00:00:00,D,Chevron Cloud Security,Python,NYC,Yes,9-10
1444,No,2020-04-01 00:00:00,2020-05-15 00:00:00,B,Application Security F/P Analysis,Java,Denver,No,7-8
1445,Yes,2020-04-01 00:00:00,2020-05-15 00:00:00,G,iDefense- Odin,Cloud,NYC,Yes,7-8
1446,Yes,2020-11-01 00:00:00,2020-11-15 00:00:00,C,AT&T Application Scanning,Python,NYC,No,8-9
1447,Yes,2020-09-01 00:00:00,2020-09-15 00:00:00,A,Application Security F/P Analysis,Cloud,NYC,No,4-5
1448,No,2020-08-01 00:00:00,2020-12-15 00:00:00,E,Cloud Security Enablement Phase 1,Java,NYC,No,7-8
1449,No,2020-10-01 00:00:00,2020-10-15 00:00:00,C,Chevron Cloud Security,Cloud,Boston,Yes,8-9
1450,Yes,2020-05-01 00:00:00,2020-12-15 00:00:00,E,Malware Analysis & Countermeasures (MAC),Python,Denver,Yes,7-8
1451,No,2020-02-01 00:00:00,2020-11-15 00:00:00,C,Cyber Integration,Cloud,Denver,No,3-4
1452,No,2020-10-01 00:00:00,2020-12-15 00:00:00,A,Avande,Cloud,DC,Yes,7-8
1453,Yes,2020-09-01 00:00:00,2020-10-15 00:00:00,G,iDefense- Zaim,Cloud,DC,Yes,6-7
1454,No,2020-09-01 00:00:00,2020-12-15 00:00:00,F,Journey2Cloud,ML,Chicago,Yes,3-4
1455,Yes,2020-10-01 00:00:00,2020-11-15 00:00:00,C,AT&T Application Scanning,Python,Boston,No,8-9
1456,Yes,2020-02-01 00:00:00,2020-07-15 00:00:00,B,Avande,ML,Chicago,Yes,1-2
1457,Yes,2020-05-01 00:00:00,2020-08-15 00:00:00,A,iDefense- Zaim,ML,Denver,No,6-7
1458,Yes,2020-12-01 00:00:00,2020-12-15 00:00:00,G,Avande,Oracle,NYC,No,1-2
1459,No,2020-12-01 00:00:00,2020-12-15 00:00:00,F,Application Security F/P Analysis,ML,Chicago,No,2-3
1460,No,2020-09-01 00:00:00,2020-12-15 00:00:00,A,Application Security F/P Analysis,Oracle,Boston,No,5-6
1461,Yes,2020-07-01 00:00:00,2020-11-15 00:00:00,C,Chevron Cloud Security,Oracle,Boston,No,9-10
1462,No,2020-06-01 00:00:00,2020-07-15 00:00:00,A,Avande,Oracle,Chicago,No,6-7
1463,No,2020-05-01 00:00:00,2020-12-15 00:00:00,G,Avande,Python,Boston,No,3-4
1464,Yes,2020-11-01 00:00:00,2020-12-15 00:00:00,G,Cloud Security Enablement Phase 1,Java,Chicago,Yes,10-11
1465,Yes,2020-10-01 00:00:00,2020-12-15 00:00:00,E,iDefense- Odin,ML,Chicago,Yes,4-5
1466,Yes,2020-08-01 00:00:00,2020-12-15 00:00:00,G,Application Security F/P Analysis,Oracle,Chicago,Yes,7-8
1467,Yes,2020-05-01 00:00:00,2020-11-15 00:00:00,C,Avande,Cloud,NYC,No,1-2
1468,Yes,2020-03-01 00:00:00,2020-11-15 00:00:00,C,iDefense- Odin,Cloud,DC,Yes,6-7
1469,No,2020-08-01 00:00:00,2020-12-15 00:00:00,D,Malware Analysis & Countermeasures (MAC),Oracle,Chicago,Yes,3-4
1470,Yes,2020-08-01 00:00:00,2020-09-15 00:00:00,B,iDefense- Odin,Python,Boston,Yes,7-8
1471,Yes,2020-05-01 00:00:00,2020-05-15 00:00:00,B,Application Security F/P Analysis,ML,Boston,No,5-6
1472,Yes,2020-09-01 00:00:00,2020-09-15 00:00:00,H,Avande,Cloud,Boston,Yes,2-3
1473,Yes,2020-10-01 00:00:00,2020-11-15 00:00:00,G,AT&T Application Scanning,ML,Denver,No,7-8
1474,No,2020-04-01 00:00:00,2020-11-15 00:00:00,C,Cloud Security Enablement Phase 1,Oracle,NYC,Yes,6-7
1475,Yes,2020-08-01 00:00:00,2020-08-15 00:00:00,C,Journey2Cloud,ML,Denver,Yes,6-7
1476,Yes,2020-12-01 00:00:00,2020-12-15 00:00:00,B,Chevron Cloud Security,Oracle,Denver,No,3-4
1477,Yes,2020-04-01 00:00:00,2020-11-15 00:00:00,H,AT&T Application Scanning,ML,Boston,No,1-2
1478,Yes,2020-10-01 00:00:00,2020-12-15 00:00:00,H,iDefense- Zaim,Java,Chicago,Yes,10-11
1479,No,2020-02-01 00:00:00,2020-12-15 00:00:00,F,Cyber Integration,Cloud,Denver,Yes,7-8
1480,No,2020-08-01 00:00:00,2020-08-15 00:00:00,H,iDefense- Odin,Java,NYC,Yes,9-10
1481,No,2020-09-01 00:00:00,2020-12-15 00:00:00,B,Cloud Security Enablement Phase 1,ML,DC,No,2-3
1482,Yes,2020-12-01 00:00:00,2020-12-15 00:00:00,A,iDefense- Zaim,Cloud,Denver,Yes,1-2
1483,Yes,2020-10-01 00:00:00,2020-11-15 00:00:00,B,Chevron Cloud Security,Java,Denver,Yes,2-3
1484,Yes,2020-09-01 00:00:00,2020-10-15 00:00:00,F,AT&T Application Scanning,ML,Chicago,Yes,8-9
1485,Yes,2020-05-01 00:00:00,2020-06-15 00:00:00,E,Cloud Security Enablement Phase 1,Python,Boston,Yes,10-11
1486,Yes,2020-09-01 00:00:00,2020-12-15 00:00:00,B,iDefense- Odin,Cloud,Denver,Yes,10-11
1487,Yes,2020-12-01 00:00:00,2020-12-15 00:00:00,D,Avande,Java,Chicago,Yes,5-6
1488,Yes,2020-02-01 00:00:00,2020-11-15 00:00:00,G,Chevron Cloud Security,Cloud,DC,No,4-5
1489,No,2020-02-01 00:00:00,2020-03-15 00:00:00,B,Chevron Cloud Security,Cloud,Chicago,No,3-4
1490,Yes,2020-05-01 00:00:00,2020-09-15 00:00:00,A,iDefense- Odin,Oracle,Chicago,No,4-5
1491,Yes,2020-11-01 00:00:00,2020-11-15 00:00:00,H,Chevron Cloud Security,Oracle,Denver,Yes,9-10
1492,Yes,2020-12-01 00:00:00,2020-12-15 00:00:00,B,Cyber Integration,Python,Denver,Yes,10-11
1493,No,2020-04-01 00:00:00,2020-11-15 00:00:00,F,Application Security F/P Analysis,ML,Denver,Yes,5-6
1494,Yes,2020-06-01 00:00:00,2020-10-15 00:00:00,E,Application Security F/P Analysis,Python,Boston,No,1-2
1495,Yes,2020-02-01 00:00:00,2020-07-15 00:00:00,A,Application Security F/P Analysis,Python,Chicago,No,3-4
1496,No,2020-12-01 00:00:00,2020-12-15 00:00:00,F,Avande,Cloud,Chicago,No,6-7
1497,Yes,2020-06-01 00:00:00,2020-10-15 00:00:00,H,Journey2Cloud,Python,Denver,Yes,2-3
1498,Yes,2020-02-01 00:00:00,2020-04-15 00:00:00,E,iDefense- Zaim,Python,Chicago,No,5-6
1499,No,2020-03-01 00:00:00,2020-06-15 00:00:00,G,Chevron Cloud Security,Cloud,Chicago,Yes,2-3
1500,No,2020-04-01 00:00:00,2020-12-15 00:00:00,D,iDefense- Zaim,Java,Denver,No,7-8
1501,Yes,2020-03-01 00:00:00,2020-10-15 00:00:00,H,AT&T Application Scanning,Java,Denver,No,3-4
1502,No,2020-10-01 00:00:00,2020-11-15 00:00:00,G,iDefense- Odin,Cloud,DC,Yes,4-5
1503,No,2020-07-01 00:00:00,2020-08-15 00:00:00,B,Cyber Integration,Java,NYC,Yes,1-2
1504,No,2020-03-01 00:00:00,2020-08-15 00:00:00,C,Chevron Cloud Security,Cloud,NYC,No,2-3
1505,No,2020-10-01 00:00:00,2020-11-15 00:00:00,G,Avande,Python,DC,Yes,1-2
1506,Yes,2020-10-01 00:00:00,2020-12-15 00:00:00,G,Chevron Cloud Security,Java,Chicago,No,4-5
1507,No,2020-12-01 00:00:00,2020-12-15 00:00:00,E,Avande,Java,DC,No,5-6
1508,No,2020-07-01 00:00:00,2020-08-15 00:00:00,H,Journey2Cloud,Oracle,DC,No,3-4
1509,Yes,2020-04-01 00:00:00,2020-09-15 00:00:00,E,Avande,Oracle,NYC,No,5-6
1510,No,2020-04-01 00:00:00,2020-12-15 00:00:00,D,iDefense- Zaim,Python,Denver,No,2-3
1511,No,2020-11-01 00:00:00,2020-11-15 00:00:00,G,Journey2Cloud,ML,DC,Yes,10-11
1512,Yes,2020-04-01 00:00:00,2020-05-15 00:00:00,F,iDefense- Odin,Cloud,Chicago,Yes,2-3
1513,Yes,2020-10-01 00:00:00,2020-12-15 00:00:00,G,Avande,Cloud,Boston,No,10-11
1514,Yes,2020-11-01 00:00:00,2020-11-15 00:00:00,E,Cloud Security Enablement Phase 1,Java,DC,No,7-8
1515,Yes,2020-09-01 00:00:00,2020-12-15 00:00:00,B,Application Security F/P Analysis,ML,DC,No,7-8
1516,Yes,2020-06-01 00:00:00,2020-07-15 00:00:00,A,Chevron Cloud Security,Java,DC,Yes,10-11
1517,No,2020-07-01 00:00:00,2020-10-15 00:00:00,A,Avande,ML,Boston,Yes,6-7
1518,Yes,2020-04-01 00:00:00,2020-12-15 00:00:00,B,Cyber Integration,Python,NYC,No,7-8
1519,No,2020-02-01 00:00:00,2020-09-15 00:00:00,D,Chevron Cloud Security,ML,Denver,No,8-9
1520,No,2020-09-01 00:00:00,2020-12-15 00:00:00,A,Journey2Cloud,Oracle,Denver,Yes,2-3
1521,No,2020-12-01 00:00:00,2020-12-15 00:00:00,F,Malware Analysis & Countermeasures (MAC),Oracle,DC,Yes,9-10
1522,Yes,2020-06-01 00:00:00,2020-12-15 00:00:00,F,Application Security F/P Analysis,Java,Chicago,No,6-7
1523,No,2020-10-01 00:00:00,2020-12-15 00:00:00,F,Journey2Cloud,Cloud,Chicago,Yes,10-11
1524,Yes,2020-11-01 00:00:00,2020-11-15 00:00:00,G,iDefense- Odin,ML,Denver,Yes,2-3
1525,No,2020-07-01 00:00:00,2020-12-15 00:00:00,F,Journey2Cloud,ML,Boston,No,1-2
1526,No,2020-12-01 00:00:00,2020-12-15 00:00:00,D,Cloud Security Enablement Phase 1,Java,NYC,Yes,10-11
1527,No,2020-09-01 00:00:00,2020-12-15 00:00:00,E,Chevron Cloud Security,Python,Denver,No,1-2
1528,No,2020-02-01 00:00:00,2020-03-15 00:00:00,A,iDefense- Odin,Cloud,NYC,No,10-11
1529,Yes,2020-11-01 00:00:00,2020-12-15 00:00:00,E,Avande,Cloud,Boston,Yes,4-5
1530,No,2020-10-01 00:00:00,2020-12-15 00:00:00,C,Chevron Cloud Security,Oracle,DC,Yes,8-9
1531,Yes,2020-05-01 00:00:00,2020-08-15 00:00:00,D,Avande,Java,Denver,Yes,9-10
1532,Yes,2020-09-01 00:00:00,2020-09-15 00:00:00,B,Chevron Cloud Security,ML,DC,Yes,8-9
1533,Yes,2020-03-01 00:00:00,2020-10-15 00:00:00,D,iDefense- Odin,Python,DC,No,5-6
1534,No,2020-06-01 00:00:00,2020-12-15 00:00:00,E,Journey2Cloud,Java,DC,Yes,2-3
